t (s), a, T (GK), Tnu (GK), photons, baryons, neutrinos, phi (GeV^4), Y(n), Y(p), Y(2H), Y(4He), Y(7Li), eta
3.28409e-06,8.00010e-11,2.69997e+01,2.69997e+01,1.92812e-11,4.77837e-18,5.13892e-11,0.00000e+00,3.64497e-01,6.35503e-01,1.01150e-12,1.00000e-30,1.00000e-30,1.67206e-09
4.92607e-06,8.00014e-11,2.69995e+01,2.69995e+01,1.92807e-11,4.77828e-18,5.13879e-11,0.00000e+00,3.64497e-01,6.35503e-01,1.01150e-12,1.00000e-30,1.00000e-30,1.67206e-09
7.38903e-06,8.00022e-11,2.69993e+01,2.69993e+01,1.92800e-11,4.77815e-18,5.13861e-11,0.00000e+00,3.64497e-01,6.35503e-01,1.01149e-12,1.00000e-30,1.00000e-30,1.67205e-09
1.10835e-05,8.00033e-11,2.69989e+01,2.69989e+01,1.92790e-11,4.77796e-18,5.13833e-11,0.00000e+00,3.64497e-01,6.35503e-01,1.01148e-12,1.00000e-30,1.00000e-30,1.67205e-09
1.66251e-05,8.00049e-11,2.69984e+01,2.69983e+01,1.92774e-11,4.77767e-18,5.13791e-11,0.00000e+00,3.64497e-01,6.35503e-01,1.01147e-12,1.00000e-30,1.00000e-30,1.67205e-09
2.49376e-05,8.00073e-11,2.69975e+01,2.69975e+01,1.92751e-11,4.77723e-18,5.13728e-11,0.00000e+00,3.64497e-01,6.35503e-01,1.01146e-12,1.00000e-30,1.00000e-30,1.67205e-09
3.74064e-05,8.00110e-11,2.69963e+01,2.69963e+01,1.92715e-11,4.77657e-18,5.13634e-11,0.00000e+00,3.64497e-01,6.35503e-01,1.01143e-12,1.00000e-30,1.00000e-30,1.67205e-09
5.61095e-05,8.00165e-11,2.69944e+01,2.69944e+01,1.92662e-11,4.77559e-18,5.13493e-11,0.00000e+00,3.64497e-01,6.35503e-01,1.01139e-12,1.00000e-30,1.00000e-30,1.67205e-09
8.41642e-05,8.00248e-11,2.69917e+01,2.69916e+01,1.92583e-11,4.77411e-18,5.13281e-11,0.00000e+00,3.64496e-01,6.35504e-01,1.01134e-12,1.00000e-30,1.00000e-30,1.67205e-09
1.26246e-04,8.00371e-11,2.69875e+01,2.69875e+01,1.92464e-11,4.77189e-18,5.12964e-11,0.00000e+00,3.64496e-01,6.35504e-01,1.01125e-12,1.00000e-30,1.00000e-30,1.67205e-09
